,block name,block_0,,,,,,,
,byte size,256,,,,,,,
,,,,,,,,,
,offset address,registe name,array dimension,shadow index,assignment,field name,type,initial value,reference
,0x00,register_0,,,[31:16],bit_field_0_0,rw,0,
,,,,,[15:0],bit_field_0_1,rw,0,
,0x04,register_1,,,[31:0],bit_field_1_0,rw,0,
,0x08,register_2,,,[16],bit_field_2_0,ro,,
,,,,,[0],bit_field_2_1,rw,0,
,0x0C,register_3,,,[31:0],bit_field_3_0,ro,,
,0x10 - 0x1F,register_4,[4],,[31:16],bit_field_4_0,ro,,
,,,,,[15:0],bit_field_4_1,rw,0,
,0x20,register_5,"[2,4]","bit_field_2_1:1, bit_field_0_0, bit_field_0_1",[31:16],bit_field_5_0,ro,,
,,,,,[15:0],bit_field_5_1,rw,0,
